Страна,Площадь,Площадь (мили),Площадь суши (км2),ActualSizeOfCountriesTotalWaterkm,ActualSizeOfCountriesTotalWater,Процент воды в территории,Население,Продолжительность жизни (все),Продолжительность жизни (мужчины),Продолжительность жизни (женщины),ИЧР,"ВВП (номинальный, 2024, млрд $)"
Кипр,9251.0,9251.0,9240.0,10.0,4.0,0.1,923 272,81.8,79.8,83.8,0.907,54.104
Киргизия,199951.0,199951.0,191800.0,8150.0,3150.0,4.1,,,,,,
Кирибати,811.0,811.0,810.0,0.0,0.0,0.0,118 000,66.6,64.7,68.3,0.628,0.46
Китай,9706961.0,9706961.0,9424702.9,270550.0,104460.0,2.8,1 409 670 000,78.0,75.2,81.0,0.788,35291.015
Китайская Республика,,,,,,,23 213 962,,,,,
Колумбия,1141748.0,1141748.0,1109500.0,100210.0,38691.0,8.8,52 886 363,77.9,75.2,80.6,0.758,1041.705
Комор­ские Острова,,,,,,,,67.0,65.0,69.2,0.586,
Коморские острова,1862.0,1862.0,1861.0,0.0,0.0,0.0,,,,,,3.629
Коморы,,,,,,,806 153,,,,,
Конго,,,,,,,,66.0,64.3,67.7,0.593,29.904
Косово,,,,,,,,78.2,76.0,80.3,,29.719
Коста-Рика,51100.0,51100.0,51060.0,40.0,20.0,0.1,4 953 199,81.0,78.4,83.6,0.806,152.141
Кот-д'Ивуар,322463.0,322463.0,318000.0,4460.0,1720.0,1.4,,,,,,219.391
Кот-д’Ивуар,,,,,,,31 934 230,62.1,60.2,64.3,0.534,
Куба,109884.0,109884.0,103800.0,0.0,0.0,0.0,10 979 783,78.3,75.9,80.7,0.764,
Кувейт,17818.0,17818.0,17820.0,0.0,0.0,0.0,4 207 000,80.6,79.4,82.0,0.847,264.301
Кыргыз­стан,,,,,,,,71.8,68.3,75.4,0.701,
Кыргызстан,,,,,,,7 037 600,,,,,48.054
Кюрасао,444.0,444.0,444.0,0.0,0.0,0.0,158 986,77.0,72.7,81.0,,
Лаос,236800.0,236800.0,230800.0,6000.0,2000.0,2.5,7 123 205,69.2,67.0,71.5,0.62,78.713
Латвия,64559.0,64559.0,62230.0,2340.0,903.0,3.6,1 862 700,76.3,71.8,80.6,0.879,78.421
Лесото,30355.0,30355.0,30360.0,0.0,0.0,0.0,2 007 201,57.8,55.0,60.4,0.521,6.983
Либерия,111369.0,111369.0,96320.0,15049.0,5810.0,13.5,5 248 621,62.3,61.0,63.6,0.487,10.468
Ливан,10452.0,10452.0,10230.0,170.0,66.0,1.6,5 364 482,77.9,75.9,79.9,0.723,
Ливия,1759540.0,1759540.0,1759540.0,0.0,0.0,0.0,6 777 000,71.1,69.6,72.7,0.746,182.897
Литва,65300.0,65300.0,62620.0,2620.0,1010.0,4.0,2 891 215,76.2,71.4,80.8,0.879,144.585
Лихтен­штейн,,,,,,,,83.7,82.0,85.4,0.942,
Лихтенштейн,160.0,160.0,160.0,0.0,0.0,0.0,38 378,,,,,
Люксем­бург,,,,,,,,82.4,80.7,83.9,0.927,
Люксембург,2586.0,2586.0,2574.5,0.0,0.0,0.0,672 050,,,,,96.886
Маври­тания,,,,,,,,68.7,66.7,70.7,0.54,
Маврикий,2040.0,2040.0,2030.0,10.0,4.0,0.5,1 261 208,75.1,72.1,78.3,0.796,40.468
Мавритания,1030700.0,1030700.0,1030700.0,4480.0,1730.0,0.4,4 927 532,,,,,34.779
Мада­гаскар,,,,,,,,63.8,62.1,65.6,0.487,
Мадагаскар,587041.0,587041.0,581800.0,5501.0,2124.0,0.9,31 964 956,,,,,60.551
Майотта,374.0,374.0,374.0,0.0,0.0,0.0,266 000,76.2,74.3,78.5,,
Макао,32.9,32.9,32.9,0.0,0.0,0.0,686 400,83.2,81.0,85.4,,92.885
Маке­дония,,,,,,,,77.5,75.3,79.7,0.765,
Малави,118484.0,118484.0,94280.0,24404.0,9422.0,20.6,21 655 286,67.6,64.3,70.8,0.508,40.029
Малай­зия,,,,,,,,76.8,74.4,79.5,0.807,
Малайзия,330803.0,330803.0,328550.0,1190.0,459.0,0.4,35 557 673,,,,,1305.942
Мали,1240192.0,1240192.0,1220190.0,20002.0,7723.0,1.6,24 478 595,60.7,59.3,62.2,0.41,65.413
Мальдивы,300.0,300.0,300.0,0.0,0.0,0.0,402 071,81.3,79.9,83.0,0.762,15.124
