Страна,Площадь,Площадь (мили),Площадь суши (км2),ActualSizeOfCountriesTotalWaterkm,ActualSizeOfCountriesTotalWater,Процент воды в территории,Население,Продолжительность жизни (все),Продолжительность жизни (мужчины),Продолжительность жизни (женщины),ИЧР,"ВВП (номинальный, 2024, млрд $)"
Тонга,747.0,747.0,720.0,30.0,10.0,4.0,100 651,73.1,69.5,76.5,0.739,0.742
Тувалу,26.0,26.0,30.0,0.0,0.0,0.0,10 927,67.3,63.9,70.9,0.653,0.066
Тунис,163610.0,163610.0,155360.0,8250.0,3190.0,5.0,12 277 109,76.7,74.1,79.3,0.732,168.315
Турция,783562.0,783562.0,783562.0,13930.0,5378.0,1.8,87 473 805,77.4,74.6,80.3,0.855,3831.533
Уганда,241550.0,241550.0,200520.0,43938.0,16965.0,18.2,50 448 963,68.5,65.5,71.4,0.55,156.696
Украина,603500.0,603500.0,579400.0,24250.0,9363.0,4.0,37 860 221,74.7,69.8,79.4,0.734,515.947
Уругвай,181034.0,181034.0,175020.0,1200.0,460.0,0.7,3 444 263,78.3,74.4,82.0,0.83,107.946
Фиджи,18272.0,18272.0,18270.0,0.0,0.0,0.0,890 000,67.5,65.5,69.5,0.729,16.059
Франция,551695.0,551695.0,547557.0,3374.0,1303.0,0.5,66 548 530,83.5,80.6,86.2,0.91,3987.911
Хорватия,56594.0,56594.0,55960.0,620.0,240.0,1.1,4 076 246,78.8,75.6,81.8,0.878,175.269
Чад,1284000.0,1284000.0,1259200.0,24800.0,9580.0,1.9,20 299 123,55.2,53.4,57.2,0.394,48.301
Черногория,13812.0,13812.0,13450.0,360.0,140.0,2.6,622 218,77.3,73.9,80.4,0.844,18.812
Чехия,78865.0,78865.0,77198.5,1700.0,660.0,2.2,10 735 859,80.0,77.2,82.7,0.895,551.958
Чили,756102.0,756102.0,743532.0,12290.0,4745.0,1.6,19 764 771,81.4,79.5,83.2,0.86,622.779
Швеция,450295.0,450295.0,407283.5,40142.0,15499.0,9.0,10 606 999,83.4,81.6,85.2,0.952,736.398
Эквадор,276841.0,276841.0,248360.0,6720.0,2600.0,2.4,18 135 478,77.6,74.9,80.3,0.765,268.199
Эстония,45227.0,45227.0,42750.0,2840.0,1100.0,6.3,1 374 687,79.3,75.1,83.2,0.899,61.598
Эфиопия,1104300.0,1104300.0,1128571.3,7670.0,2960.0,0.7,132 059 767,67.6,64.4,71.0,0.492,431.688
Южный Судан,619745.0,619745.0,631930.0,0.0,0.0,0.0,11 943 408,57.7,54.8,60.7,0.381,7.031
Ямайка,10991.0,10991.0,10830.0,160.0,62.0,1.5,2 726 667,71.6,69.1,74.1,0.706,37.239
Япония,377930.0,377930.0,364500.0,13430.0,5185.0,3.6,123 753 041,84.9,81.8,87.9,0.92,6720.962
